nohup: ignoring input
Namespace(attack_method='TDGIA', cuda=True, dataset='Flickr', debug=True, defense_mode='prune', device_id=3, dis_weight=0.0, dropout=0.5, epochs=200, evaluate_mode='overall', hidden=64, homo_boost_thrd=0.5, homo_loss_weight=100.0, inner=1, lr=0.01, model='GCN', no_cuda=False, prune_thr=0.4, seed=10, selection_method='cluster_degree', target_class=0, target_loss_weight=1, test_model='GCN', thrd=0.5, train_lr=0.02, trigger_prob=0.5, trigger_size=3, trojan_epochs=1000, vs_ratio=0.005, weight_decay=0.0005)
Data(x=[89250, 500], edge_index=[2, 899756], y=[89250], train_mask=[89250], val_mask=[89250], test_mask=[89250])
Length of training set: 17850
Training benign model Finished!
Benign CA: 0.2062
./selected_nodes/Flickr/Overall/seed10/nodes.txt
Training Surrogate Model...
=== training gcn model ===
Epoch 0, training loss: 1.9452153444290161
acc_val: 0.4119
Epoch 10, training loss: 1.6309700012207031
acc_val: 0.4119
Epoch 20, training loss: 1.6187177896499634
acc_val: 0.4119
Epoch 30, training loss: 1.605920433998108
acc_val: 0.4117
Epoch 40, training loss: 1.5945312976837158
acc_val: 0.4119
Epoch 50, training loss: 1.5863348245620728
acc_val: 0.4114
Epoch 60, training loss: 1.5802758932113647
acc_val: 0.4139
Epoch 70, training loss: 1.5742063522338867
acc_val: 0.4133
Epoch 80, training loss: 1.5673242807388306
acc_val: 0.4158
Epoch 90, training loss: 1.5605494976043701
acc_val: 0.4211
Epoch 100, training loss: 1.551489233970642
acc_val: 0.4271
Epoch 110, training loss: 1.5445424318313599
acc_val: 0.4266
Epoch 120, training loss: 1.5378440618515015
acc_val: 0.4392
Epoch 130, training loss: 1.5354580879211426
acc_val: 0.4420
Epoch 140, training loss: 1.5312683582305908
acc_val: 0.4389
Epoch 150, training loss: 1.5314425230026245
acc_val: 0.4432
Epoch 160, training loss: 1.5311552286148071
acc_val: 0.4457
Epoch 170, training loss: 1.527440071105957
acc_val: 0.4492
Epoch 180, training loss: 1.5292843580245972
acc_val: 0.4463
Epoch 190, training loss: 1.5266375541687012
acc_val: 0.4492
=== picking the best model according to the performance on validation ===
Training Completed...
precent of left attach nodes: 1.000
target class rate on Vs: 0.0000
target class rate on Vs: 0.0672
accuracy on clean test nodes: 0.4193
torch.Size([899756])
torch.Size([89250, 500])
Attacking: Sequential inject 5355/26775 nodes, target 8925/8925 nodes
Attacking: Epoch 0, Loss: 18.50232, Surrogate test score: 0.71092
Attacking: Epoch 1, Loss: 17.60594, Surrogate test score: 0.67518
Attacking: Epoch 2, Loss: 16.72763, Surrogate test score: 0.64370
Attacking: Epoch 3, Loss: 15.88720, Surrogate test score: 0.60964
Attacking: Epoch 4, Loss: 15.09177, Surrogate test score: 0.57860
Attacking: Epoch 5, Loss: 14.34667, Surrogate test score: 0.54891
Attacking: Epoch 6, Loss: 13.65191, Surrogate test score: 0.52392
Attacking: Epoch 7, Loss: 13.00189, Surrogate test score: 0.49793
Attacking: Epoch 8, Loss: 12.39321, Surrogate test score: 0.47328
Attacking: Epoch 9, Loss: 11.82073, Surrogate test score: 0.45333
Attacking: Epoch 10, Loss: 11.28251, Surrogate test score: 0.43417
Attacking: Epoch 11, Loss: 10.78037, Surrogate test score: 0.41356
Attacking: Epoch 12, Loss: 10.31476, Surrogate test score: 0.39866
Attacking: Epoch 13, Loss: 9.88773, Surrogate test score: 0.38286
Attacking: Epoch 14, Loss: 9.49934, Surrogate test score: 0.37053
Attacking: Epoch 15, Loss: 9.14956, Surrogate test score: 0.36112
Attacking: Epoch 16, Loss: 8.84215, Surrogate test score: 0.35294
Attacking: Epoch 17, Loss: 8.57395, Surrogate test score: 0.34611
Attacking: Epoch 18, Loss: 8.34285, Surrogate test score: 0.34084
Attacking: Epoch 19, Loss: 8.14616, Surrogate test score: 0.33625
Attacking: Epoch 20, Loss: 7.97944, Surrogate test score: 0.33289
Attacking: Epoch 21, Loss: 7.83934, Surrogate test score: 0.32997
Attacking: Epoch 22, Loss: 7.72229, Surrogate test score: 0.32896
Attacking: Epoch 23, Loss: 7.62507, Surrogate test score: 0.32784
Attacking: Epoch 24, Loss: 7.54399, Surrogate test score: 0.32672
Attacking: Epoch 25, Loss: 7.47609, Surrogate test score: 0.32571
Attacking: Epoch 26, Loss: 7.41917, Surrogate test score: 0.32549
Attacking: Epoch 27, Loss: 7.37091, Surrogate test score: 0.32493
Attacking: Epoch 28, Loss: 7.32920, Surrogate test score: 0.32459
Attacking: Epoch 29, Loss: 7.29259, Surrogate test score: 0.32448
Attacking: Epoch 30, Loss: 7.25994, Surrogate test score: 0.32448
Attacking: Epoch 31, Loss: 7.23068, Surrogate test score: 0.32437
Attacking: Epoch 32, Loss: 7.20401, Surrogate test score: 0.32437
Attacking: Epoch 33, Loss: 7.17877, Surrogate test score: 0.32415
Attacking: Epoch 34, Loss: 7.15443, Surrogate test score: 0.32403
Attacking: Epoch 35, Loss: 7.13093, Surrogate test score: 0.32403
Attacking: Epoch 36, Loss: 7.10815, Surrogate test score: 0.32403
Attacking: Epoch 37, Loss: 7.08619, Surrogate test score: 0.32392
Attacking: Epoch 38, Loss: 7.06515, Surrogate test score: 0.32392
Attacking: Epoch 39, Loss: 7.04513, Surrogate test score: 0.32392
Attacking: Epoch 40, Loss: 7.02599, Surrogate test score: 0.32392
Attacking: Epoch 41, Loss: 7.00748, Surrogate test score: 0.32392
Attacking: Epoch 42, Loss: 6.98953, Surrogate test score: 0.32381
Attacking: Epoch 43, Loss: 6.97207, Surrogate test score: 0.32381
Attacking: Epoch 44, Loss: 6.95505, Surrogate test score: 0.32381
Attacking: Epoch 45, Loss: 6.93843, Surrogate test score: 0.32381
Attacking: Epoch 46, Loss: 6.92218, Surrogate test score: 0.32381
Attacking: Epoch 47, Loss: 6.90628, Surrogate test score: 0.32381
Attacking: Epoch 48, Loss: 6.89069, Surrogate test score: 0.32381
Attacking: Epoch 49, Loss: 6.87541, Surrogate test score: 0.32381
Attacking: Epoch 50, Loss: 6.86044, Surrogate test score: 0.32381
Attacking: Epoch 51, Loss: 6.84577, Surrogate test score: 0.32381
Attacking: Epoch 52, Loss: 6.83141, Surrogate test score: 0.32381
Attacking: Epoch 53, Loss: 6.81732, Surrogate test score: 0.32381
Attacking: Epoch 54, Loss: 6.80353, Surrogate test score: 0.32381
Attacking: Epoch 55, Loss: 6.79004, Surrogate test score: 0.32381
Attacking: Epoch 56, Loss: 6.77683, Surrogate test score: 0.32381
Attacking: Epoch 57, Loss: 6.76392, Surrogate test score: 0.32381
Attacking: Epoch 150, Loss: 6.12915, Surrogate test score: 0.32370
Attacking: Epoch 151, Loss: 6.12449, Surrogate test score: 0.32370
Attacking: Epoch 152, Loss: 6.11986, Surrogate test score: 0.32370
Attacking: Epoch 153, Loss: 6.11524, Surrogate test score: 0.32370
Attacking: Epoch 154, Loss: 6.11062, Surrogate test score: 0.32370
Attacking: Epoch 155, Loss: 6.10602, Surrogate test score: 0.32370
Attacking: Epoch 156, Loss: 6.10143, Surrogate test score: 0.32370
Attacking: Epoch 157, Loss: 6.09685, Surrogate test score: 0.32370
Attacking: Epoch 158, Loss: 6.09231, Surrogate test score: 0.32370
Attacking: Epoch 159, Loss: 6.08778, Surrogate test score: 0.32370
Attacking: Epoch 160, Loss: 6.08326, Surrogate test score: 0.32370
Attacking: Epoch 161, Loss: 6.07875, Surrogate test score: 0.32370
Attacking: Epoch 162, Loss: 6.07426, Surrogate test score: 0.32370
Attacking: Epoch 163, Loss: 6.06978, Surrogate test score: 0.32370
Attacking: Epoch 164, Loss: 6.06534, Surrogate test score: 0.32370
Attacking: Epoch 165, Loss: 6.06088, Surrogate test score: 0.32370
Attacking: Epoch 166, Loss: 6.05645, Surrogate test score: 0.32370
Attacking: Epoch 167, Loss: 6.05205, Surrogate test score: 0.32370
Attacking: Epoch 168, Loss: 6.04765, Surrogate test score: 0.32370
Attacking: Epoch 169, Loss: 6.04327, Surrogate test score: 0.32370
Attacking: Epoch 170, Loss: 6.03890, Surrogate test score: 0.32370
Attacking: Epoch 171, Loss: 6.03457, Surrogate test score: 0.32370
Attacking: Epoch 172, Loss: 6.03023, Surrogate test score: 0.32370
Attacking: Epoch 173, Loss: 6.02592, Surrogate test score: 0.32370
Attacking: Epoch 174, Loss: 6.02163, Surrogate test score: 0.32370
Attacking: Epoch 175, Loss: 6.01734, Surrogate test score: 0.32370
Attacking: Epoch 176, Loss: 6.01307, Surrogate test score: 0.32370
Attacking: Epoch 177, Loss: 6.00880, Surrogate test score: 0.32370
Attacking: Epoch 178, Loss: 6.00456, Surrogate test score: 0.32370
Attacking: Epoch 179, Loss: 6.00033, Surrogate test score: 0.32370
Attacking: Epoch 180, Loss: 5.99612, Surrogate test score: 0.32370
Attacking: Epoch 181, Loss: 5.99192, Surrogate test score: 0.32370
Attacking: Epoch 182, Loss: 5.98774, Surrogate test score: 0.32370
Attacking: Epoch 183, Loss: 5.98357, Surrogate test score: 0.32370
Attacking: Epoch 184, Loss: 5.97943, Surrogate test score: 0.32370
Attacking: Epoch 185, Loss: 5.97529, Surrogate test score: 0.32370
Attacking: Epoch 186, Loss: 5.97117, Surrogate test score: 0.32370
Attacking: Epoch 187, Loss: 5.96707, Surrogate test score: 0.32370
Attacking: Epoch 188, Loss: 5.96298, Surrogate test score: 0.32370
Attacking: Epoch 189, Loss: 5.95891, Surrogate test score: 0.32370
Attacking: Epoch 190, Loss: 5.95485, Surrogate test score: 0.32370
Attacking: Epoch 191, Loss: 5.95082, Surrogate test score: 0.32370
Attacking: Epoch 192, Loss: 5.94678, Surrogate test score: 0.32370
Attacking: Epoch 193, Loss: 5.94278, Surrogate test score: 0.32370
Attacking: Epoch 194, Loss: 5.93878, Surrogate test score: 0.32370
Attacking: Epoch 195, Loss: 5.93480, Surrogate test score: 0.32370
Attacking: Epoch 196, Loss: 5.93082, Surrogate test score: 0.32370
Attacking: Epoch 197, Loss: 5.92687, Surrogate test score: 0.32370
Attacking: Epoch 198, Loss: 5.92293, Surrogate test score: 0.32370
Attacking: Epoch 199, Loss: 5.91901, Surrogate test score: 0.32370
Attacking: Epoch 200, Loss: 5.91511, Surrogate test score: 0.32370
Attacking: Epoch 201, Loss: 5.91120, Surrogate test score: 0.32370
Attacking: Epoch 202, Loss: 5.90732, Surrogate test score: 0.32370
Attacking: Epoch 203, Loss: 5.90346, Surrogate test score: 0.32370
Attacking: Epoch 204, Loss: 5.89962, Surrogate test score: 0.32370
Attacking: Epoch 205, Loss: 5.89578, Surrogate test score: 0.32370
Attacking: Epoch 206, Loss: 5.89198, Surrogate test score: 0.32370
Attacking: Epoch 207, Loss: 5.88816, Surrogate test score: 0.32370
Attacking: Epoch 208, Loss: 5.88439, Surrogate test score: 0.32370
Attacking: Epoch 209, Loss: 5.88063, Surrogate test score: 0.32370
Attacking: Epoch 210, Loss: 5.87687, Surrogate test score: 0.32370
Attacking: Epoch 211, Loss: 5.87314, Surrogate test score: 0.32370
Attacking: Epoch 212, Loss: 5.86942, Surrogate test score: 0.32370
Attacking: Epoch 213, Loss: 5.86570, Surrogate test score: 0.32370
Attacking: Epoch 214, Loss: 5.86204, Surrogate test score: 0.32370
Attacking: Epoch 215, Loss: 5.85834, Surrogate test score: 0.32370
Attacking: Epoch 216, Loss: 5.85469, Surrogate test score: 0.32370
Attacking: Epoch 217, Loss: 5.85106, Surrogate test score: 0.32370
Attacking: Epoch 218, Loss: 5.84742, Surrogate test score: 0.32370
Attacking: Epoch 219, Loss: 5.84381, Surrogate test score: 0.32370
Attacking: Epoch 220, Loss: 5.84023, Surrogate test score: 0.32370
Attacking: Epoch 221, Loss: 5.83665, Surrogate test score: 0.32370
Attacking: Epoch 222, Loss: 5.83309, Surrogate test score: 0.32370
Attacking: Epoch 223, Loss: 5.82954, Surrogate test score: 0.32370
Attacking: Epoch 224, Loss: 5.82601, Surrogate test score: 0.32370
Attacking: Epoch 225, Loss: 5.82248, Surrogate test score: 0.32370
Attacking: Epoch 226, Loss: 5.81898, Surrogate test score: 0.32370
Attacking: Epoch 227, Loss: 5.81548, Surrogate test score: 0.32370
Attacking: Epoch 228, Loss: 5.81201, Surrogate test score: 0.32370
Attacking: Epoch 229, Loss: 5.80853, Surrogate test score: 0.32370
Attacking: Epoch 230, Loss: 5.80507, Surrogate test score: 0.32370
Attacking: Epoch 231, Loss: 5.80163, Surrogate test score: 0.32370
Attacking: Epoch 232, Loss: 5.79821, Surrogate test score: 0.32370
Attacking: Epoch 233, Loss: 5.79479, Surrogate test score: 0.32370
Attacking: Epoch 234, Loss: 5.79140, Surrogate test score: 0.32370
Attacking: Epoch 235, Loss: 5.78802, Surrogate test score: 0.32370
Attacking: Epoch 236, Loss: 5.78467, Surrogate test score: 0.32370
Attacking: Epoch 237, Loss: 5.78131, Surrogate test score: 0.32370
Attacking: Epoch 238, Loss: 5.77799, Surrogate test score: 0.32370
Attacking: Epoch 239, Loss: 5.77467, Surrogate test score: 0.32370
Attacking: Epoch 240, Loss: 5.77136, Surrogate test score: 0.32370
Attacking: Epoch 241, Loss: 5.76807, Surrogate test score: 0.32370
Attacking: Epoch 242, Loss: 5.76480, Surrogate test score: 0.32370
Attacking: Epoch 243, Loss: 5.76154, Surrogate test score: 0.32370
Attacking: Epoch 244, Loss: 5.75830, Surrogate test score: 0.32370
Attacking: Epoch 245, Loss: 5.75505, Surrogate test score: 0.32370
Attacking: Epoch 246, Loss: 5.75186, Surrogate test score: 0.32370
Attacking: Epoch 247, Loss: 5.74865, Surrogate test score: 0.32370
Attacking: Epoch 248, Loss: 5.74547, Surrogate test score: 0.32370
Attacking: Epoch 249, Loss: 5.74230, Surrogate test score: 0.32370
Attacking: Epoch 250, Loss: 5.73914, Surrogate test score: 0.32370
Attacking: Epoch 251, Loss: 5.73601, Surrogate test score: 0.32370
Attacking: Epoch 252, Loss: 5.73287, Surrogate test score: 0.32370
Attacking: Epoch 253, Loss: 5.72976, Surrogate test score: 0.32370
Attacking: Epoch 254, Loss: 5.72667, Surrogate test score: 0.32370
Attacking: Epoch 255, Loss: 5.72359, Surrogate test score: 0.32370
Attacking: Epoch 256, Loss: 5.72053, Surrogate test score: 0.32370
Attacking: Epoch 257, Loss: 5.71747, Surrogate test score: 0.32370
Attacking: Epoch 258, Loss: 5.71444, Surrogate test score: 0.32370
Attacking: Epoch 259, Loss: 5.71142, Surrogate test score: 0.32370
Attacking: Epoch 260, Loss: 5.70841, Surrogate test score: 0.32370
Attacking: Epoch 261, Loss: 5.70540, Surrogate test score: 0.32370
Attacking: Epoch 262, Loss: 5.70242, Surrogate test score: 0.32370
Attacking: Epoch 263, Loss: 5.69945, Surrogate test score: 0.32370
Attacking: Epoch 264, Loss: 5.69651, Surrogate test score: 0.32370
Attacking: Epoch 265, Loss: 5.69356, Surrogate test score: 0.32370
Attacking: Epoch 266, Loss: 5.69064, Surrogate test score: 0.32370
Attacking: Epoch 267, Loss: 5.68773, Surrogate test score: 0.32370
